"filename", "language", "JavaScript", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\calculator.html", "HTML", 0, -32, 0, 0, -5, -37
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\kcal.css", "PostCSS", 0, 0, 79, 0, 15, 94
"c:\Users\vestb\Downloads\ProsjektHelseNorge\frame\calculator.html", "HTML", 0, 32, 0, 0, 5, 37
"c:\Users\vestb\Downloads\ProsjektHelseNorge\frame\kcal.html", "HTML", 0, 31, 0, 0, 10, 41
"c:\Users\vestb\Downloads\ProsjektHelseNorge\frame\mcqsystem.html", "HTML", 0, 362, 0, 1, 39, 402
"c:\Users\vestb\Downloads\ProsjektHelseNorge\index.html", "HTML", 0, 37, 0, 0, 2, 39
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\calorie.js", "JavaScript", 24, 0, 0, 0, 7, 31
"c:\Users\vestb\Downloads\ProsjektHelseNorge\kcal.html", "HTML", 0, -87, 0, 0, -26, -113
"c:\Users\vestb\Downloads\ProsjektHelseNorge\livogkost.html", "HTML", 0, -31, 0, 0, -3, -34
"c:\Users\vestb\Downloads\ProsjektHelseNorge\mcqsystem.html", "HTML", 0, -362, 0, -1, -39, -402
"Total", "-", 24, -50, 79, 0, 5, 58