"filename", "language", "Markdown", "JavaScript", "HTML", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\vestb\Downloads\ProsjektHelseNorge\adminpanel.html", "HTML", 0, 0, 44, 0, 0, 0, 11, 55
"c:\Users\vestb\Downloads\ProsjektHelseNorge\assets\images\site.webmanifest", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\vestb\Downloads\ProsjektHelseNorge\bmisite.html", "HTML", 0, 0, 90, 0, 0, 0, 15, 105
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\mcq.css", "PostCSS", 0, 0, 0, 160, 0, 1, 2, 163
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\style.css", "PostCSS", 0, 0, 0, 1430, 0, 31, 269, 1730
"c:\Users\vestb\Downloads\ProsjektHelseNorge\frame\mcqsystem.html", "HTML", 0, 0, 123, 0, 0, 1, 19, 143
"c:\Users\vestb\Downloads\ProsjektHelseNorge\helsesøk.html", "HTML", 0, 0, 71, 0, 0, 0, 10, 81
"c:\Users\vestb\Downloads\ProsjektHelseNorge\index.html", "HTML", 0, 0, 149, 0, 0, 0, 13, 162
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\admin.js", "JavaScript", 0, 28, 0, 0, 0, 9, 7, 44
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\adminpanel.js", "JavaScript", 0, 107, 0, 0, 0, 2, 36, 145
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\bmi.js", "JavaScript", 0, 46, 0, 0, 0, 2, 12, 60
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\calorie.js", "JavaScript", 0, 43, 0, 0, 0, 0, 8, 51
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\mcq.js", "JavaScript", 0, 69, 0, 0, 0, 5, 21, 95
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\reaction.js", "JavaScript", 0, 76, 0, 0, 0, 0, 17, 93
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\script.js", "JavaScript", 0, 58, 0, 0, 0, 5, 13, 76
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\search.js", "JavaScript", 0, 87, 0, 0, 0, 1, 18, 106
"c:\Users\vestb\Downloads\ProsjektHelseNorge\livogkost.html", "HTML", 0, 0, 113, 0, 0, 0, 20, 133
"c:\Users\vestb\Downloads\ProsjektHelseNorge\omoss.html", "HTML", 0, 0, 72, 0, 0, 0, 12, 84
"c:\Users\vestb\Downloads\ProsjektHelseNorge\reaction.html", "HTML", 0, 0, 105, 0, 0, 0, 10, 115
"c:\Users\vestb\Downloads\ProsjektHelseNorge\test.js", "JavaScript", 0, 10, 0, 0, 0, 0, 9, 19
"Total", "-", 1, 524, 767, 1590, 1, 57, 523, 3463